Alojamiento,Precio,Puntuación,Reseñas,Ubicación,Estrellas,Distrito,Ciudad
Inhala Hotel Garden,2493.0,7.6,5243,"Centro de Madrid, Madrid",4.0,Centro de Madrid,Madrid
Cituspace Las Tablas Azofra,2056.0,7.6,22,"Fuencarral - El Pardo, Madrid",0.0,Fuencarral - El Pardo,Madrid
Madrid Airport Apartments,1440.0,7.1,1370,"San Blas, Madrid",0.0,San Blas,Madrid
Charming Madrid el Carmen II,1116.0,8.0,0,"Ciudad Lineal, Madrid",0.0,Ciudad Lineal,Madrid
Sunny studio with AC in Hortaleza,1258.0,0.0,0,"Hortaleza, Madrid",0.0,Hortaleza,Madrid
VR Estudios Apartments,1506.0,7.9,21,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
AMA MADRID Metropolitano 16,1088.0,8.6,6,"San Blas, Madrid",0.0,San Blas,Madrid
Iconic Apt en plena Plaza del Carmen para 4pax E3,1404.0,5.3,40,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Apartamento Mercurio- Barajas 1B,922.0,9.5,10,"Barajas, Madrid",0.0,Barajas,Madrid
Hostal Oporto,1400.0,7.2,2838,"Centro de Madrid, Madrid",2.0,Centro de Madrid,Madrid
Apartment at the foot of Pantano San Juan - 12,702.0,1.0,2,Madrid,0.0,Madrid,Madrid
Global Home-Ocaña,1225.0,9.3,82,"Latina, Madrid",0.0,Latina,Madrid
Exclusivo piso en el centro - 2,2342.0,9.7,3,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
CH Plaza D'Ort Rooms IV,1127.0,5.8,2057,"Centro de Madrid, Madrid",1.0,Centro de Madrid,Madrid
Apartamentos Turisticos Aeropuerto Barajas,1161.0,9.3,30,"Barajas, Madrid",0.0,Barajas,Madrid
El Refugio de Barceló,1299.0,5.6,51,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hostal Avenida Barajas,1305.0,8.3,3934,"Barajas, Madrid",3.0,Barajas,Madrid
"Cuatro Torres, Apto 2 habitaciones",1890.0,10.0,4,"Tetuán, Madrid",0.0,Tetuán,Madrid
Apartamento 2 habs VillaVerde 1A,951.0,6.4,5,"Villaverde, Madrid",0.0,Villaverde,Madrid
"Tu ventana a Madrid para 3, conoce Carretas 25",1153.0,5.2,8,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
LUMINOSOS APARTAMENTOS POZUELO a 8 MINUTOS DE PALACIO REAL,1332.0,9.3,6,Madrid,0.0,Madrid,Madrid
Hostal Casa Chueca,1719.0,8.3,444,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
Hostal Emilio Barajas,839.0,6.7,2319,"Barajas, Madrid",2.0,Barajas,Madrid
GRAN VIA capitals by MONARO*****,2062.0,8.7,288,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
